富裕,富有
纨绔子弟,花花公子
蜿蜒,弯曲
外债,内债
外在,内在
外延,内涵
外行,内行
外销,内销
外向,内向
外乡,本土
外围,核心
外头,里头
外伤,内伤
外面,里面
外科,内科
外景,内景
外交,内政
外患,内乱
外国,本国
外敷,内服
外敌,内奸
外部,内部
外表,表面
歪斜,倾斜
歪理,正理
洼地,高地
挖空心思,处心积虑
挖掘,发掘
唾手可得,探囊取物
唾弃,鄙弃
脱颖而出,锋芒毕露
脱险,遇险
脱胎换骨,洗心革面
脱漏,遗漏
脱口而出,信口开河
拖拉,迁延
托故,借故
托付,拜托
托辞,遁辞
吞没,淹没
退职,在职
退役,服役
退学,入学
退席,入席
退伍,入伍
退缩,畏缩
退让,让步
退却,退避
退化,退步
退出,加入
退场,登场
颓丧,颓废
颓废,颓丧
推延,推迟
推心置腹,开诚布公
推卸,推脱
推却,推辞
推敲,琢磨
推荐,引荐
推广,推行
推动,推进
推戴,拥戴
推辞,推托
推迟,推延
推陈出新,新陈代谢
推测,揣测
推波助澜,火上浇油
团圆,团聚
团体,集团
团聚,聚会
团结,勾结
土气,洋气
土崩瓦解,分崩离析
屠戮,杀戮
途程,路程
徒有虚名,名不副实
徒劳,白费
徒弟,师傅
突围,包围
突然,忽然
突破,打破
突飞猛进,日新月异
突变,渐变
凸起,凹陷
透露,泄漏
投降,投诚
投合,迎合
投标,招标
投笔从戎,解甲归田
投奔,投靠
头重脚轻,虎头蛇尾
头绪,眉目
头目,喽罗
头昏脑胀,头昏眼花
头等,头号
偷梁换柱,移花接木
偷盗,盗窃
偷安,苟安
痛快,爽快
痛苦,苦楚
痛改前非,改过自新
统一,一致
统统,通通
铜墙铁壁,固若金汤
同意,赞同
同样,异样
同学,同窗
同性,异性
同心协力,同床异梦
同流合污,随波逐流
同化,异化
同归于尽,玉石俱焚
同床异梦,貌合神离
同仇敌忾,同仇敌慨
同病相怜,幸灾乐祸
通知,告诉
通信,通讯
通晓,知晓
通宵,彻夜
通通,统统
通俗,浅显
通明,透明
通过,经过
通畅,迟滞
挺身而出,自告奋勇
停止,中止
停职,复职
停战,休战
停业,开业
停课,复课
停刊,复刊
停火,开火
停工,复工
停顿,进展
停办,开办
听天由命,听其自然
听凭,任凭
听从,遵从
铁心,死心
贴补,补助
跳梁小丑,正人君子
挑战,应战
挑衅,寻衅
挑拨离间,搬弄是非
挑拨,挑唆
甜蜜,甘美
恬适,安适
恬淡,淡泊
添枝加叶,添油加醋
添油加醋,添枝加叶
天摇地动,天旋地转
天涯海角,天南地北
天性,天分
天下大乱,天灾人祸
天文,地理
天堂,地狱
天时,地利
天壤之别,大相径庭
天然,自然
天穹,苍穹
天南地北,天涯海角
天经地义,理所当然
天昏地暗,昏天黑地
天花乱坠,缄口不语
天黑,天亮
天翻地覆,翻天覆地
天才,天赋
替换,交换
体现,表现
体贴,体恤
体面,面子
体谅,谅解
体力,膂力
体会,领会
体格,体魄
题目,标题
提早,延迟
提前,提早
提价,降价
提高,进步
提倡,倡导
提拔,选拔
啼笑皆非,哭笑不得
腾飞,起飞
疼爱,心疼
特务,间谍
特色,特征
特地,特别
特长,专长
讨厌,厌恶
讨价,还价
讨伐,征伐
淘气,调皮
陶冶,熏陶
逃之夭夭,溜之大吉
逃亡,流亡
倘若,假使
搪塞,敷衍
探讨,讨论
探索,探究
探亲,省亲
探囊取物,十拿九稳
探究,探求
叹为观止,蔚为大观
叹气,叹息
袒露,裸露
袒护,包庇
坦率,坦白
坦白,坦率
谈笑自若,谈笑风生
谈笑风生,谈笑自若
谈判,会谈
谈论,议论
谈话,说话
谈虎色变,闻风丧胆
昙花一现,稍纵即逝
摊派,分摊
贪赃枉法,贪污腐化
贪婪,贪心
贪得无厌,得寸进尺
泰然,恬然
太平盛世,兵荒马乱
抬头,低头
塌实,浮躁
他乡,家乡
他杀,自杀
他人,别人
索取,讨取
所有,一切
所向无敌,所向披靡
所向披靡,所向无敌
缩小,减少
缩手缩脚,缩头缩脑
缩短,延长
唆使,教唆
损人利己,自私自利
随心所欲,为所欲为
随同,伴随
随声附和,人云亦云
随便,随意
宿愿,心愿
素日,平日
素淡,素净
素常,平素
肃穆,庄严
苏醒,清醒
搜索枯肠,绞尽脑汁
搜罗,网罗
搜查,搜寻
耸立,屹立
怂恿,鼓动
松懈,涣散
松散,松懈
松软,坚实
肆虐,暴虐
似曾相识,素昧平生
伺机,乘机
